;------------------------------------------------------------
;2_る～こと
;------------------------------------------------------------
;服
別立ち_服_通常_2,2_別立_Dairi改.webp,0,0,180,180
別立ち_服_笑顔_2,2_別立_Dairi改.webp,180,0,180,180
別立ち_服_怒り_2,2_別立_Dairi改.webp,360,0,180,180
別立ち_服_睡眠_2,2_別立_Dairi改.webp,0,360,180,180
;裸
別立ち_裸_通常_2,2_別立_Dairi改.webp,0,180,180,180
別立ち_裸_笑顔_2,2_別立_Dairi改.webp,180,180,180,180
別立ち_裸_怒り_2,2_別立_Dairi改.webp,360,180,180,180

;服
別顔_服_通常_2,2_別顔_Dairi改.webp,0,0,180,180
別顔_服_笑顔_2,2_別顔_Dairi改.webp,180,0,180,180
別顔_服_怒り_2,2_別顔_Dairi改.webp,360,0,180,180
別顔_服_睡眠_2,2_別顔_Dairi改.webp,720,0,180,180
別顔_服_発情_2,2_別顔_Dairi改.webp,900,0,180,180
;裸
別顔_裸_通常_2,2_別顔_Dairi改.webp,0,180,180,180
別顔_裸_笑顔_2,2_別顔_Dairi改.webp,180,180,180,180
別顔_裸_怒り_2,2_別顔_Dairi改.webp,360,180,180,180
別顔_裸_オナニー_2,2_別顔_Dairi改.webp,720,180,180,180
別顔_裸_発情_2,2_別顔_Dairi改.webp,900,180,180,180
別顔_裸_愛撫_2,2_別顔_Dairi改.webp,0,360,180,180
別顔_裸_性交_2,2_別顔_Dairi改.webp,180,360,180,180

;特殊服装
別顔_服_下着_通常_2,2_別顔_下着_Dairi改.webp,0,0,180,180
別顔_服_下着_笑顔_2,2_別顔_下着_Dairi改.webp,180,0,180,180
別顔_服_下着_怒り_2,2_別顔_下着_Dairi改.webp,360,0,180,180
別顔_服_下着_発情_2,2_別顔_下着_Dairi改.webp,900,0,180,180
別顔_服_下着_愛撫_2,2_別顔_下着_Dairi改.webp,0,180,180,180
別顔_服_下着_性交_2,2_別顔_下着_Dairi改.webp,720,0,180,180

;エフェクト
別顔_照れ_2,2_別顔_Dairi改.webp,540,0,180,180
別顔_吐息_2,2_別顔_Dairi改.webp,360,360,180,180
別顔_汗_2,2_別顔_Dairi改.webp,540,360,180,180

;******************************
;コスプレ
;******************************
;バニー
別立ち_服_バニー_通常_2,2_別立_コスプレ_Dairi改.webp,0,360,180,180
別立ち_服_バニー_笑顔_2,2_別立_コスプレ_Dairi改.webp,180,360,180,180
別立ち_服_バニー_怒り_2,2_別立_コスプレ_Dairi改.webp,360,360,180,180
別顔_服_バニー_通常_2,2_別顔_コスプレ_Dairi改.webp,0,0,180,180
別顔_服_バニー_笑顔_2,2_別顔_コスプレ_Dairi改.webp,180,0,180,180
別顔_服_バニー_怒り_2,2_別顔_コスプレ_Dairi改.webp,360,0,180,180
別顔_服_バニー_発情_2,2_別顔_コスプレ_Dairi改.webp,900,0,180,180

;セーラー
別立ち_服_セーラー_通常_2,2_別立_コスプレ_Dairi改.webp,0,180,180,180
別立ち_服_セーラー_笑顔_2,2_別立_コスプレ_Dairi改.webp,180,180,180,180
別立ち_服_セーラー_怒り_2,2_別立_コスプレ_Dairi改.webp,360,180,180,180
別顔_服_セーラー_通常_2,2_別顔_コスプレ_Dairi改.webp,0,180,180,180
別顔_服_セーラー_笑顔_2,2_別顔_コスプレ_Dairi改.webp,180,180,180,180
別顔_服_セーラー_怒り_2,2_別顔_コスプレ_Dairi改.webp,360,180,180,180
別顔_服_セーラー_発情_2,2_別顔_コスプレ_Dairi改.webp,900,180,180,180

;変T
別立ち_服_変T_通常_2,2_別立_コスプレ_Dairi改.webp,0,0,180,180
別立ち_服_変T_笑顔_2,2_別立_コスプレ_Dairi改.webp,180,0,180,180
別立ち_服_変T_怒り_2,2_別立_コスプレ_Dairi改.webp,360,0,180,180
別顔_服_変T_通常_2,2_別顔_コスプレ_Dairi改.webp,0,360,180,180
別顔_服_変T_笑顔_2,2_別顔_コスプレ_Dairi改.webp,180,360,180,180
別顔_服_変T_怒り_2,2_別顔_コスプレ_Dairi改.webp,360,360,180,180
別顔_服_変T_発情_2,2_別顔_コスプレ_Dairi改.webp,900,360,180,180
