Jr_Job_HappyFace,Jr_Job_HappyFace.png
Jr_Casual01_HappyFace,Jr_Casual01_HappyFace.png
Jr_Casual01_AngerFace,Jr_Casual01_AngerFaceS.png
Jr_Casual02_HappyFace,Jr_Casual02_HappyFace.png
Jr_Casual02_AskFace,Jr_Casual02_AskFaceS.png
Jr_Casual02_ThinkFace,Jr_Casual02_ThinkFaceS.png
Jr_Casual02_ResignedFace,Jr_Casual02_ResignedFace.png
Jr_Casual02_ResignedFaceS,Jr_Casual02_ResignedFaceS.png
Jr_Casual02_HappyFaceS,Jr_Casual02_HappyFaceS.png
Jr_Casual02_NormalFace2,Jr_Casual02_NormalFace2.png
Jr_Casual02_NormalFaceS2,Jr_Casual02_NormalFaceS2.png
